Date,Day,Month,Year,SolRadiation (MJ/m²/day),TempMin (°C),TempMax (°C),RelHumMin (%),RelHumMax (%),net radiation name,net radiation,SurplusCal,DeficitCal,deficit,surplus,,,S,D,,,,DAY,January,, February ,,March,,April,, May,,June,,July,,August,,September,, October,,November,, December,
3/12/2011,12,3,2011,17.66210118,25,34.5,45,95,surplus,88.5575379,surplus,deficit,-0.011421061,1.011421061,,0.778016201,0.778016201,0.370483905,0.555725858,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2011,13,3,2011,17.27074354,25,35,45,95,surplus,93.39378628,surplus,deficit,-0.010823239,1.010823239,,0.777556338,0.777556338,0.370264923,0.555397384,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/14/2011,14,3,2011,15.78169319,25,35,43,98,surplus,85.15638644,surplus,deficit,-0.011882639,1.011882639,,0.778371261,0.778371261,0.370652981,0.555979472,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2011,15,3,2011,17.53261854,24,33.5,46,94,surplus,61.30806084,surplus,deficit,-0.016581531,1.016581531,,0.781985793,0.781985793,0.372374187,0.558561281,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2011,16,3,2011,16.6626116,24,33.5,51,94,surplus,81.12765588,surplus,deficit,-0.012480086,1.012480086,,0.778830835,0.778830835,0.370871826,0.55630774,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2011,17,3,2011,18.30151264,24,34.5,36,95,surplus,27.60874676,surplus,deficit,-0.037581627,1.037581627,,0.798139713,0.798139713,0.38006653,0.570099795,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2011,18,3,2011,19.42393799,24,36,30,94,surplus,6.525997219,surplus,deficit,-0.180962813,1.180962813,,0.908432933,0.504684963,0.504684963,0.757027444,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/19/2011,19,3,2011,19.03403521,24,35,39,95,surplus,50.31118742,surplus,deficit,-0.020279374,1.020279374,,0.784830288,0.784830288,0.373728708,0.560593063,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2011,20,3,2011,16.97104215,24,33.5,45,95,surplus,57.8920637,surplus,deficit,-0.017577144,1.017577144,,0.782751649,0.782751649,0.372738881,0.559108321,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2011,21,3,2011,18.62740153,23.5,33.5,44,95,surplus,49.05967996,surplus,deficit,-0.020807463,1.020807463,,0.78523651,0.78523651,0.373922148,0.560883221,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2011,22,3,2011,15.99628521,23.5,34.5,44,98,surplus,62.26406172,surplus,deficit,-0.016322783,1.016322783,,0.781786756,0.781786756,0.372279408,0.558419112,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2011,23,3,2011,13.68960292,21.5,32,63,100,surplus,75.77189462,surplus,deficit,-0.013374009,1.013374009,,0.779518468,0.779518468,0.371199271,0.556798906,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2011,24,3,2011,19.64143972,22,33,45,93,surplus,20.30750062,surplus,deficit,-0.051793343,1.051793343,,0.809071802,0.449484335,0.449484335,0.674226502,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2011,25,3,2011,13.15130431,22.1,31.5,60,95,surplus,56.25727241,surplus,deficit,-0.018097165,1.018097165,,0.783151665,0.783151665,0.372929364,0.559394047,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2011,26,3,2011,19.10677826,26.5,34,43,95,surplus,105.6637141,surplus,deficit,-0.00955441,1.00955441,,0.776580315,0.776580315,0.36980015,0.554700225,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2011,27,3,2011,17.48679042,23,33,51,95,surplus,65.20161573,surplus,deficit,-0.015575932,1.015575932,,0.781212255,0.781212255,0.372005836,0.558008754,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2011,28,3,2011,17.33693972,23,34,43,95,surplus,40.38266291,surplus,deficit,-0.025391884,1.025391884,,0.788762988,0.788762988,0.375601423,0.563402134,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2011,29,3,2011,17.82577306,24,33.5,38,95,surplus,26.90896745,surplus,deficit,-0.038596675,1.038596675,,0.798920519,0.798920519,0.380438342,0.570657514,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/30/2011,30,3,2011,17.56462549,24,34,41,94,surplus,43.5473492,surplus,deficit,-0.023503227,1.023503227,,0.787310175,0.787310175,0.374909607,0.56236441,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/31/2011,31,3,2011,19.95568972,25,34.5,40,94,surplus,66.46212594,surplus,deficit,-0.015276009,1.015276009,,0.780981545,0.780981545,0.371895974,0.557843961,,,,,,,,,,,,,,,,,,,,,,,,,,,
